"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 14:01:40 GMT 2024","Tue Jun 11 14:01:48 GMT 2024","8159","","UI tests","","TestRailTests","CheckConfirmationModalForProjectDeletion","CheckConfirmationModalForProjectDeletion","Check confirmation message when project is deleted"
"passed","Tue Jun 11 14:02:31 GMT 2024","Tue Jun 11 14:02:34 GMT 2024","2326","","UI tests","","TestRailTests","UploadAttachmentToMilestone","UploadAttachmentToMilestone","Upload attachement to Milestone"
"passed","Tue Jun 11 14:01:40 GMT 2024","Tue Jun 11 14:01:40 GMT 2024","244","","API tests","","ApiTRTests","ApiGetMilestone","ApiGetMilestone","Check Milestone for existing project"
"failed","Tue Jun 11 14:02:16 GMT 2024","Tue Jun 11 14:02:30 GMT 2024","14074","","UI tests","","TestRailTests","FailingTest","FailingTest","Login failing test to shown attachments in Allure report"
"passed","Tue Jun 11 14:01:39 GMT 2024","Tue Jun 11 14:01:39 GMT 2024","293","","API tests","","ApiTRTests","ApiCreateProject","ApiCreateProject","Create new project"
"passed","Tue Jun 11 14:01:40 GMT 2024","Tue Jun 11 14:01:40 GMT 2024","496","","API tests","","ApiTRTests","ApiGetCreatedProject","ApiGetCreatedProject","Check data for created project"
"passed","Tue Jun 11 14:01:48 GMT 2024","Tue Jun 11 14:01:53 GMT 2024","4575","","UI tests","","TestRailTests","CreateTestProject","CreateTestProject","Create new project"
"passed","Tue Jun 11 14:01:38 GMT 2024","Tue Jun 11 14:01:39 GMT 2024","742","","API tests","","ApiTRTests","ApiAddMilestone","ApiAddMilestone","Add new Milestone to existing project"
"passed","Tue Jun 11 14:01:39 GMT 2024","Tue Jun 11 14:01:40 GMT 2024","553","","API tests","","ApiTRTests","ApiDeleteMilestone","ApiDeleteMilestone","Delete Milestone for existing project"
"passed","Tue Jun 11 14:01:53 GMT 2024","Tue Jun 11 14:02:16 GMT 2024","22875","","UI tests","","TestRailTests","DeleteTestProject","DeleteTestProject","Delete existing project"
"passed","Tue Jun 11 14:02:30 GMT 2024","Tue Jun 11 14:02:31 GMT 2024","1453","","UI tests","","TestRailTests","LoginWithInvalidCredentials","LoginWithInvalidCredentials","Login with invalid credentials and check error message"
